cls_name,cls_id,normal_abnormal,cancer_noncancer
Adrenocortical_carcinoma,0,abnormal,cancer
Bladder_Urothelial_Carcinoma,1,abnormal,cancer
Brain_Lower_Grade_Glioma,2,abnormal,cancer
Breast_invasive_carcinoma,3,abnormal,cancer
Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,4,abnormal,cancer
Cholangiocarcinoma,5,abnormal,cancer
Colon_Rectum_adenocarcinoma,6,abnormal,cancer
Esophageal_carcinoma,7,abnormal,cancer
Glioblastoma_multiforme,8,abnormal,cancer
Head_and_Neck_squamous_cell_carcinoma,9,abnormal,cancer
Kidney_Chromophobe,10,abnormal,cancer
Kidney_renal_clear_cell_carcinoma,11,abnormal,cancer
Kidney_renal_papillary_cell_carcinoma,12,abnormal,cancer
Liver_hepatocellular_carcinoma,13,abnormal,cancer
Lung_adenocarcinoma,14,abnormal,cancer
Lung_squamous_cell_carcinoma,15,abnormal,cancer
Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,16,abnormal,cancer
Mesothelioma,17,abnormal,cancer
Ovarian_serous_cystadenocarcinoma,18,abnormal,cancer
Pancreatic_adenocarcinoma,19,abnormal,cancer
Pheochromocytoma_and_Paraganglioma,20,abnormal,cancer
Prostate_adenocarcinoma,21,abnormal,cancer
Sarcoma,22,abnormal,cancer
Skin_Cutaneous_Melanoma,23,abnormal,cancer
Stomach_adenocarcinoma,24,abnormal,cancer
Testicular_Germ_Cell_Tumors,25,abnormal,cancer
Thymoma,26,abnormal,cancer
Thyroid_carcinoma,27,abnormal,cancer
Uterine_Carcinosarcoma,28,abnormal,cancer
Uterine_Corpus_Endometrial_Carcinoma,29,abnormal,cancer
Uveal_Melanoma,30,abnormal,cancer
